CRUISEID,YR,SOURCE,VESSEL,CRUISE_NO,STARTCRU,ENDCRU,TITLE,NOTE
1,1982,US,4,125,2/24/1982,3/31/1982,Spring Groundfish Survey,0
2,1982,US,4,126,4/15/1982,5/25/1982,Spring SEAMAP Plankton Survey,0
3,1982,FL,9,821,5/16/1982,5/16/1982,Spring SEAMAP Plankton Survey,0
4,1982,LA,25,821,6/1/1982,7/13/1982,Spring SEAMAP Plankton Survey,0
5,1982,US,4,127,6/1/1982,7/14/1982,Summer SEAMAP Groundfish Survey,0
6,1982,MS,17,821,6/6/1982,6/10/1982,Summer SEAMAP Groundfish Survey,0
7,1982,AL,23,821,6/8/1982,6/3/1982,Summer SEAMAP Groundfish Survey,0
8,1982,FL,9,822,6/8/1982,6/13/1982,Spring SEAMAP Plankton Survey,0
9,1982,US,20,823,6/16/1982,7/6/1982,Summer Groundfish Survey,0
10,1982,FL,9,823,6/20/1982,6/22/1982,Spring SEAMAP Plankton Survey,0
11,1982,TX,16,823,6/23/1982,6/26/1982,Summer SEAMAP Groundfish Survey,0
12,1982,TX,16,824,6/30/1982,7/1/1982,Summer SEAMAP Groundfish Survey,0
13,1982,TX,24,825,7/9/1982,7/13/1982,Summer SEAMAP Groundfish Survey,0
14,1983,US,4,133,3/8/1983,4/13/1983,Spring Groundfish Survey,0
15,1983,US,4,134,4/22/1983,5/23/1983,Spring SEAMAP Plankton Survey,0
16,1983,US,4,135,6/1/1983,6/16/1983,Summer SEAMAP Groundfish Survey,0
17,1983,MS,17,831,6/7/1983,6/14/1983,Summer SEAMAP Groundfish Survey,0
18,1983,AL,23,831,6/9/1983,7/2/1983,Summer SEAMAP Groundfish Survey,0
19,1983,LA,25,831,6/13/1983,6/16/1983,Summer SEAMAP Groundfish Survey,0
20,1983,FL,26,831,6/15/1983,7/5/1983,Spring SEAMAP Plankton Survey,0
21,1983,TX,16,831,6/21/1983,6/22/1983,Summer SEAMAP Groundfish Survey,0
22,1983,LA,25,832,6/21/1983,6/23/1983,Summer SEAMAP Groundfish Survey,0
23,1983,FL,9,831,6/26/1983,6/29/1983,Spring SEAMAP Plankton Survey,0
24,1983,TX,16,832,6/29/1983,7/1/1983,Summer SEAMAP Groundfish Survey,0
25,1983,LA,25,833,7/5/1983,7/5/1983,Spring SEAMAP Plankton Survey,0
26,1983,TX,16,833,7/6/1983,7/11/1983,Summer SEAMAP Groundfish Survey,0
27,1983,FL,9,832,7/12/1983,7/14/1983,Fall SEAMAP Plankton Survey,0
28,1983,US,4,138,10/12/1983,11/14/1983,Fall Groundfish Survey,0
29,1983,LA,25,834,10/17/1983,11/17/1983,Fall SEAMAP Plankton Survey,0
30,1983,MS,17,832,10/18/1983,10/18/1983,Fall SEAMAP Plankton Survey,0
31,1983,US,4,140,12/8/1983,12/21/1983,Winter SEAMAP Plankton Survey,0
32,1984,US,4,142,3/8/1984,4/11/1984,Spring Groundfish/Plankton Survey,0
33,1984,US,4,143,4/21/1984,5/22/1984,Spring SEAMAP Plankton Survey,0
34,1984,LA,25,841,6/5/1984,6/20/1984,Summer SEAMAP Groundfish Survey,0
35,1984,US,4,145,6/6/1984,6/6/1984,Summer SEAMAP Groundfish Survey,0
36,1984,AL,23,841,6/6/1984,7/25/1984,Summer SEAMAP Groundfish Survey,0
