year,areaNR,areaOB,volOB
1985,9774,14300,53.6
1986,9432,12700,39
1987,6688,9800,24.2
1988,40,700,1.3
1989,,10400,28.4
1990,9260,15000,59.3
1991,11920,17900,70
1992,10804,11600,33.7
1993,17600,22700,99.5
1994,16600,16600,73.8
1995,18200,21300,66.3
1996,17920,23200,92.9
1997,15840,18200,54.8
1998,12480,11100,54.9
1999,20000,21200,111.3
2000,4400,3800,15
2001,20720,20100,73
2002,22000,21700,67.6
2003,8560,5500,11.3
2004,15040,15700,83.6
2005,11840,10200,30.7
2006,17280,15600,62.6
2007,20500,20600,107
2008,20720,22300,137.5
2009,8000,7100,44.3
2010,20000,15600,65.6
2011,17520,17100,62.6
