BIO_BGS,keep
121051602,1
121052004,1
121060101,1
129040201,1
129040302,1
141020101,1
148041501,1
166010401,1
168020513,1
168020519,1
168020523,1
170020905,1
170024202,1
170024805,1
170110902,1
170113802,1
170151107,1
170151802,1
170200900,1
170200901,1
170200904,1
170201604,1
170201701,1
170201902,1
170203902,1
170211601,1
170213403,1
170220605,1
170460402,1
170511103,1
171010202,1
183010602,1
183011001,1
183011003,1
189080611,1
195050401,1
225010100,1
225010103,1
228010701,1
228010703,1
228010705,1
228011800,1
228011801,1
228011802,1
228300400,1
228320101,1
228320102,1
229110206,1
229110803,1
229110808,1
330234402,1
347020101,1
347020200,1
347020201,1
347020202,1
229110203,1
229260105,1
170203101,1
110120101,1
108021802,1
121050302,1
170440803,1
170110803,1
108040104,1
121060103,1
