CODE,TAXONOMIC,common_name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Habitat-Biology,Trophic_Level,pel,dem,hab
328040100,ABARBATIA,,,,,,,,,,,,,
330140100,ABISA,,,,,,,,,,,,,
147010100,ABLENNES,,,,,,,,,,,,,
147010101,ABLENNES HIANS,flat needlefish,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Ablennes,hians,outer continental shelf; beach and shoreline; oceanic surface and epipelagic,4.5,p,,p
335470100,ABRA,,,,,,,,,,,,,
335470101,ABRA AEQUALIS,Atlantic abra,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,Abra,aequalis,benthic; estuarine; infaunal,,,,
335470102,ABRA LIOICA,smooth abra,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,Abra,lioica,benthic; infaunal,,,,
335470103,ABRA LONGICALLIS,long abra,,,,,,,,,,,,
348030200,ABRALIA,,,,,,,,,,,,,
348030201,ABRALIA GRIMPEI,,,,,,,,,,,,,
348030202,ABRALIA MEGALOPS,,,,,,,,,,,,,
348030203,ABRALIA REDFIELDI,,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,redfieldi,epipelagic (0–200 m); insular,,p,,p
348030204,ABRALIA VERANYI,,Animalia,Mollusca,Cephalopoda,Oegopsida,Enoploteuthidae,Abralia,veranyi,oceanic; continental slope,,,,
348030300,ABRALIOPSIS,,,,,,,,,,,,,
348030301,ABRALIOPSIS MORISII,,,,,,,,,,,,,
170270100,ABUDEFDUF,sergeant majors,,,,,,,,,,,,
170270101,ABUDEFDUF SAXATILIS,sergeant major,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,saxatilis,demersal; coral reef,3.4,,d,d
170270102,ABUDEFDUF TAURUS,night sergeant,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,taurus,demersal; coral reef,2.1,,d,d
307410000,ABYSSOCHRYSIDAE,,,,,,,,,,,,,
619300200,ACANELLA,,,,,,,,,,,,,
619300201,ACANELLA EBURNEA,,Animalia,Cnidaria,Anthozoa,Gorgonacea,Isididae,Acanella,eburnea,benthic; hard substrate; slope (200–3000 m),,,,
229020900,ACANTHACARIS,,,,,,,,,,,,,
229020901,ACANTHACARIS CAECA,Atlantic deepsea lobster,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Acanthacaris,caeca,benthic; burrower; deep sea,,,,
986050000,ACANTHACEAE,acanthac�es,,,,,,,,,,,,
170370300,ACANTHEMBLEMARIA,,,,,,,,,,,,,
170370301,ACANTHEMBLEMARIA ASPERA,roughhead blenny,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Acanthemblemaria,aspera,demersal; coral reef,3.1,,d,d
170370302,ACANTHEMBLEMARIA SPINOSA,spinyhead blenny,,,,,,,,,,,,
228290100,ACANTHEPHYRA,,,,,,,,,,,,,
228290106,ACANTHEPHYRA ACANTHITELSONSIS,,,,,,,,,,,,,
228290101,ACANTHEPHYRA ACUTIFRONS,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,acutifrons,benthopelagic; pelagic; deep sea,,p,,p
228290102,ACANTHEPHYRA ARMATA,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,armata,benthic; benthopelagic; deep sea,,p,,p
228290107,ACANTHEPHYRA CURTIROSTRIS,peaked shrimp,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,curtirostris,pelagic; deep sea,,p,,p
228290103,ACANTHEPHYRA EXIMIA,,,,,,,,,,,,,
228290104,ACANTHEPHYRA PELAGICA,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,pelagica,pelagic; deep sea,,p,,p
228290105,ACANTHEPHYRA PURPUREA,,Animalia,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Acanthephyra,purpurea,pelagic; deep sea,,p,,p
228290108,ACANTHEPHYRA STYLOROSTRATA,,,,,,,,,,,,,
335290100,ACANTHOCARDIA,,,,,,,,,,,,,
229260300,ACANTHOCARPUS,,,,,,,,,,,,,
229260301,ACANTHOCARPUS ALEXANDRI,gladiator box crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Acanthocarpus,alexandri,benthic; soft substrate; loose rubble or coral fragments; molluscan and other shells or shell hash,,,,
229260302,ACANTHOCARPUS BISPINOSUS,twospine box crab,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,Acanthocarpus,bispinosus,benthic; soft substrate; molluscan and other shells or shell hash; outer continental shelf,,,,
